divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,2,0,1	0.006	0.00752117796711	0:0.012599521685[&age_median=0.012599521685,age_mean=0.0120082972367,age_n=6,age_range={0.00511662445,0.01740730258},age_hpdi_95={0.00511662445,0.01740730258},age_qi_95={0.00570348181,0.0170458059687}],1:0.003174667175[&age_median=0.003174667175,age_mean=0.00362283061167,age_n=6,age_range={0.00033457287,0.00721544527},age_hpdi_95={0.00033457287,0.00721544527},age_qi_95={0.00046785474625,0.00711811502375}],2:0.002849811285[&age_median=0.002849811285,age_mean=0.00327514876,age_n=6,age_range={0.00103579009,0.00634369987},age_hpdi_95={0.00103579009,0.00634369987},age_qi_95={0.00105226838125,0.0062262578375}]
0,1,0,0,0,1	0.006	0.00745876595072	0:0.00549412966[&age_median=0.00549412966,age_mean=0.00540328945833,age_n=6,age_range={0.00141197628,0.01147278568},age_hpdi_95={0.00141197628,0.01147278568},age_qi_95={0.00143265139375,0.010909854755}],1:0.004831925045[&age_median=0.004831925045,age_mean=0.00551474875833,age_n=6,age_range={0.00211026902,0.00949730895},age_hpdi_95={0.00211026902,0.00949730895},age_qi_95={0.00240439039875,0.00922937338625}]
0,1,1,2,0,0	0.006	0.00740145032135	0:0.00928000466[&age_median=0.00928000466,age_mean=0.00911098007667,age_n=6,age_range={0.00432692837,0.01359426617},age_hpdi_95={0.00432692837,0.01359426617},age_qi_95={0.00446846197625,0.0134856678213}],1:0.0028183173[&age_median=0.0028183173,age_mean=0.00347459280167,age_n=6,age_range={0.0001746459,0.00681675339},age_hpdi_95={0.0001746459,0.00681675339},age_qi_95={0.00032889501625,0.0068160197275}],2:0.00120508423[&age_median=0.00120508423,age_mean=0.00147966362,age_n=6,age_range={0.00034100936,0.00295789829},age_hpdi_95={0.00034100936,0.00295789829},age_qi_95={0.00039833048875,0.00288432690625}]
0,1,1,2,0,2	0.006	0.00856553513366	0:0.01298665627[&age_median=0.01298665627,age_mean=0.0128298801717,age_n=6,age_range={0.00521008209,0.02217747776},age_hpdi_95={0.00521008209,0.02217747776},age_qi_95={0.005409091345,0.0215073246037}],1:0.004532986375[&age_median=0.004532986375,age_mean=0.005475679395,age_n=6,age_range={0.00057582447,0.01178516112},age_hpdi_95={0.00057582447,0.01178516112},age_qi_95={0.0006183914525,0.0116258606925}],2:0.0039627533[&age_median=0.0039627533,age_mean=0.00348401412167,age_n=6,age_range={0.00050010546,0.00582105088},age_hpdi_95={0.00050010546,0.00582105088},age_qi_95={0.00059823696375,0.0057649525575}]
0,1,2,1,0,1	0.006	0.00728161195537	0:0.010621392005[&age_median=0.010621392005,age_mean=0.01129342939,age_n=6,age_range={0.00178900996,0.02017314533},age_hpdi_95={0.00178900996,0.02017314533},age_qi_95={0.0023220509975,0.0199642895113}],1:0.002773035665[&age_median=0.002773035665,age_mean=0.00248694937667,age_n=6,age_range={0.00027273526,0.00440315334},age_hpdi_95={0.00027273526,0.00440315334},age_qi_95={0.00031597860125,0.004362890965}],2:0.00467669403[&age_median=0.00467669403,age_mean=0.00684939997833,age_n=6,age_range={0.0014701214,0.01676688896},age_hpdi_95={0.0014701214,0.01676688896},age_qi_95={0.00161638504625,0.0160292492}]
0,1,0,2,2,1	0.006	0.00722259644484	0:0.003640005685[&age_median=0.003640005685,age_mean=0.00518926727833,age_n=6,age_range={0.00056302673,0.01282221671},age_hpdi_95={0.00056302673,0.01282221671},age_qi_95={0.00066792844375,0.0123529531738}],1:0.002668337765[&age_median=0.002668337765,age_mean=0.00314146799667,age_n=6,age_range={8.667624e-05,0.00600855774},age_hpdi_95={8.667624e-05,0.00600855774},age_qi_95={0.00028879660375,0.0059716454375}],2:0.005333317755[&age_median=0.005333317755,age_mean=0.00546307285833,age_n=6,age_range={0.00071958564,0.01002811611},age_hpdi_95={0.00071958564,0.01002811611},age_qi_95={0.001127151145,0.0096976003725}]
0,1,2,2,1,2	0.006	0.00715827613273	0:0.01797673417[&age_median=0.01797673417,age_mean=0.01536409057,age_n=6,age_range={0.0071009765,0.02184219975},age_hpdi_95={0.0071009765,0.02184219975},age_qi_95={0.0073239534325,0.02141231314}],1:0.006017782065[&age_median=0.006017782065,age_mean=0.00539658639667,age_n=6,age_range={0.0003910296,0.01033653593},age_hpdi_95={0.0003910296,0.01033653593},age_qi_95={0.00057419099875,0.01001447743}],2:0.002245144465[&age_median=0.002245144465,age_mean=0.00235009494167,age_n=6,age_range={0.00124382947,0.00472884451},age_hpdi_95={0.00124382947,0.00472884451},age_qi_95={0.0012556822575,0.0044251083175}]
0,1,2,1,3,3	0.005	0.00708723607963	0:0.012154095[&age_median=0.012154095,age_mean=0.013580296436,age_n=5,age_range={0.00203684792,0.03106954729},age_hpdi_95={0.00203684792,0.03106954729},age_qi_95={0.002218912617,0.029840942269}],1:0.00215854167[&age_median=0.00215854167,age_mean=0.001781676934,age_n=5,age_range={0.00029802188,0.00359568376},age_hpdi_95={0.00029802188,0.00359568376},age_qi_95={0.000310008352,0.00347994046}],2:0.00661497699[&age_median=0.00661497699,age_mean=0.00768797225,age_n=5,age_range={0.0056427731,0.01095395528},age_hpdi_95={0.0056427731,0.01095395528},age_qi_95={0.005705710837,0.010754160293}],3:0.00332784815[&age_median=0.00332784815,age_mean=0.003926133494,age_n=5,age_range={0.00078863427,0.00714528659},age_hpdi_95={0.00078863427,0.00714528659},age_qi_95={0.000894752823,0.007082665797}]
0,0,0,1,2,0	0.005	0.00700878754059	0:0.00375910969[&age_median=0.00375910969,age_mean=0.004808647802,age_n=5,age_range={0.00096845026,0.01283155304},age_hpdi_95={0.00096845026,0.01283155304},age_qi_95={0.001012026237,0.012056389335}],1:0.00154022937[&age_median=0.00154022937,age_mean=0.003474884856,age_n=5,age_range={0.00036202902,0.00847884193},age_hpdi_95={0.00036202902,0.00847884193},age_qi_95={0.00040922641,0.008246889841}],2:0.00428335538[&age_median=0.00428335538,age_mean=0.006719079242,age_n=5,age_range={0.00052105552,0.0158358279},age_hpdi_95={0.00052105552,0.0158358279},age_qi_95={0.000783564333,0.015233146486}]
0,1,2,3,4,2	0.005	0.0069229972734	0:0.01199080466[&age_median=0.01199080466,age_mean=0.014897795144,age_n=5,age_range={0.00701431772,0.02278383343},age_hpdi_95={0.00701431772,0.02278383343},age_qi_95={0.007397348686,0.02269098934}],1:0.00177347054[&age_median=0.00177347054,age_mean=0.002228912828,age_n=5,age_range={0.00037644297,0.00506383205},age_hpdi_95={0.00037644297,0.00506383205},age_qi_95={0.000432095959,0.004857233417}],2:0.00357339886[&age_median=0.00357339886,age_mean=0.004185136776,age_n=5,age_range={0.00125626217,0.0085019788},age_hpdi_95={0.00125626217,0.0085019788},age_qi_95={0.001346155502,0.008195665776}],3:0.00118220335[&age_median=0.00118220335,age_mean=0.00161343758,age_n=5,age_range={0.00050342277,0.00442369675},age_hpdi_95={0.00050342277,0.00442369675},age_qi_95={0.00050872546,0.004121468611}],4:0.01607942794[&age_median=0.01607942794,age_mean=0.017614564888,age_n=5,age_range={0.00867741243,0.03438878576},age_hpdi_95={0.00867741243,0.03438878576},age_qi_95={0.008920690983,0.032731607219}]
