PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
40	0.00849234189	0.00849234189	0.01388659997	0.00893468031	0.01139263794	0.00728746493	0.007779	0.004984	0.002829	0.001317	0.006394	0.004122	0.007779	0.004984	0.002829	0.001317	0.006394	0.004122	0.007779	0.004984	0.002829	0.001317	0.006394	0.004122	1	5	5.94038387396747e-06	0.00974767782166667	0.000609415286660734	0.250038041614314	0.019704	0.004756	0.010703	0.003114	0.018825	0.010544	0.024087	0.003457	0.010556	0.003753	0.014730	0.009472	0.016412	0.007273	0.032362	0.007954	0.024880	0.006881	0.045952	0.018119	0.028537	0.020672	0.036622	0.027908
90	0.00480988026	0.00569145957	0.00480988026	0.00112256305	0.00569145957	0.00112256305	0.005354	0.003371	0.004095	0.003147	0.005581	0.003851	0.005354	0.003371	0.004095	0.003147	0.005581	0.003851	0.005354	0.003371	0.004095	0.003147	0.005581	0.003851	1	3	4.69977409299338e-06	0.00387463429333333	0.00121295940137622	0.559509897593673	0.022789	0.004017	0.010908	0.001190	0.015463	0.004756	0.022940	0.002593	0.008797	0.003217	0.011784	0.009021	0.012556	0.004100	0.005279	0.000185	0.020120	0.006313	0.044826	0.015686	0.026033	0.019135	0.032721	0.027231
73	0.00925688700	0.00346644515	0.00346644515	0.00710226481	0.00710226481	0.00710226481	0.008612	0.002220	0.003064	0.001274	0.006928	0.005960	0.008612	0.002220	0.003064	0.001274	0.006928	0.005960	0.008612	0.002220	0.003064	0.001274	0.006928	0.005960	1	3	5.34335771938796e-06	0.00624942862166667	0.000855015401066048	0.369885079272284	0.032131	0.005513	0.005416	0.005344	0.014506	0.006387	0.022940	0.002593	0.005278	0.003753	0.013888	0.008119	0.038348	0.010753	0.002477	0.012750	0.013874	0.012539	0.044826	0.015686	0.020137	0.020672	0.035549	0.025824
95	0.00503035933	0.00503035933	0.00654133030	0.00654133030	0.00654133030	0.00503035933	0.006984	0.008307	0.001364	0.002088	0.004995	0.009519	0.006984	0.008307	0.001364	0.002088	0.004995	0.009519	0.006984	0.008307	0.001364	0.002088	0.004995	0.009519	1	2	6.84909981654827e-07	0.005785844815	0.000118376832347659	0.143037518368779	0.021369	0.005752	0.006365	0.004728	0.023992	0.011413	0.021793	0.006050	0.007037	0.003753	0.020201	0.012629	0.011232	0.006209	0.017689	0.011504	0.035463	0.004734	0.043672	0.023991	0.023269	0.020672	0.042973	0.032264
80	0.00400910327	0.00636660833	0.00636660833	0.00400910327	0.00636660833	0.01328617716	0.012154	0.003558	0.005835	0.002256	0.009594	0.002786	0.012154	0.003558	0.005835	0.002256	0.009594	0.002786	0.012154	0.003558	0.005835	0.002256	0.009594	0.002786	1	3	1.16372159649305e-05	0.00673403478166667	0.00172811937304107	0.506581343946862	0.018928	0.006093	0.005056	0.001630	0.013375	0.008071	0.021793	0.005186	0.007917	0.001608	0.013468	0.009472	0.006469	0.010291	0.005360	0.002222	0.006816	0.023575	0.043672	0.022204	0.024688	0.013523	0.035001	0.027908
2	0.01805434468	0.00290938919	0.00053047022	0.00290938919	0.01895087677	0.01180305171	0.010233	0.008319	0.007406	0.001109	0.001771	0.001950	0.010233	0.008319	0.007406	0.001109	0.001771	0.001950	0.010233	0.008319	0.007406	0.001109	0.001771	0.001950	1	5	6.69117820599019e-05	0.00919292029333333	0.00727862093054653	0.889811068463765	0.036214	0.002810	0.003645	0.002822	0.020677	0.006313	0.029822	0.003457	0.003519	0.003217	0.012626	0.006766	0.047219	0.000836	0.000000	0.004770	0.039901	0.015673	0.051238	0.018119	0.016431	0.019135	0.033879	0.023562
76	0.00593820091	0.00417673476	0.00417673476	0.00438525593	0.00438525593	0.00417673476	0.017415	0.006497	0.005127	0.004739	0.003581	0.005166	0.017415	0.006497	0.005127	0.004739	0.003581	0.005166	0.017415	0.006497	0.005127	0.004739	0.003581	0.005166	1	3	4.79748389487693e-07	0.00453981950833333	0.000105675652656909	0.1525696591478	0.032441	0.012835	0.006340	0.005547	0.011694	0.008675	0.035557	0.009508	0.004398	0.005629	0.009259	0.012629	0.016110	0.015743	0.001195	0.008240	0.013029	0.003934	0.056066	0.030112	0.018377	0.025335	0.028977	0.032264
12	0.01460671244	0.00291021446	0.00291021446	0.00805126858	0.01460671244	0.01372964386	0.006282	0.004514	0.003782	0.001961	0.005046	0.003892	0.006282	0.004514	0.003782	0.001961	0.005046	0.003892	0.006282	0.004514	0.003782	0.001961	0.005046	0.003892	1	4	3.17981124269689e-05	0.00946912770666667	0.00335808254065279	0.595512245779895	0.032929	0.005587	0.003131	0.009922	0.018111	0.005688	0.027528	0.004322	0.004398	0.006969	0.013468	0.007217	0.026163	0.002517	0.009302	0.021475	0.018875	0.020140	0.049187	0.020264	0.018377	0.028203	0.035001	0.024339
40	0.00361384860	0.00361384860	0.01269397643	0.00260033086	0.00675188002	0.00161339313	0.013311	0.003278	0.001522	0.005536	0.010805	0.005872	0.013311	0.003278	0.001522	0.005536	0.010805	0.005872	0.013311	0.003278	0.001522	0.005536	0.010805	0.005872	1	5	1.66410992244614e-05	0.00514787960666667	0.00323261235614575	0.792433128806942	0.018617	0.012585	0.005159	0.007302	0.013819	0.006477	0.030969	0.009508	0.006158	0.008042	0.017255	0.009021	0.010533	0.021768	0.019200	0.000000	0.010224	0.000043	0.052236	0.030112	0.021758	0.030305	0.039673	0.027231
10	0.02124026244	0.00618331792	0.00293198538	0.00293198538	0.00653103582	0.00714241171	0.007841	0.008904	0.002927	0.001746	0.004119	0.004478	0.007841	0.008904	0.002927	0.001746	0.004119	0.004478	0.007841	0.008904	0.002927	0.001746	0.004119	0.004478	1	5	4.65375640879973e-05	0.00782683310833333	0.00594589963064987	0.871597047056335	0.027804	0.006804	0.005467	0.004429	0.012066	0.005683	0.024087	0.005186	0.007917	0.003753	0.011363	0.008570	0.033093	0.008535	0.021420	0.011198	0.016850	0.010868	0.045952	0.022204	0.024688	0.020672	0.032126	0.026537
