PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
166	0.00914807954	0.00415688610	0.00914807954	0.00415688610	0.01455430106	0.00914807954	0.014624	0.006089	0.005589	0.002962	0.011708	0.011333	0.014624	0.006089	0.005589	0.002962	0.011708	0.011333	0.014624	0.006089	0.005589	0.002962	0.011708	0.011333	1	3	1.5112208026793e-05	0.00838538531333333	0.00180220794419114	0.4635973428799	0.027615	0.007971	0.005108	0.006146	0.017537	0.007801	0.038998	0.008643	0.006158	0.006165	0.014309	0.011276	0.022997	0.008897	0.016855	0.009344	0.021547	0.010396	0.058789	0.028702	0.021758	0.026518	0.036090	0.030471
3	0.03144829909	0.00545568336	0.00598277275	0.00545568336	0.01878322418	0.01147645654	0.010946	0.003512	0.002292	0.004748	0.006240	0.014345	0.010946	0.003512	0.002292	0.004748	0.006240	0.014345	0.010946	0.003512	0.002292	0.004748	0.006240	0.014345	1	5	0.000107824217341497	0.0131003532133333	0.00823063436425176	0.792638479671674	0.030067	0.003038	0.006186	0.006929	0.020086	0.011095	0.027528	0.003457	0.007917	0.007238	0.017255	0.015787	0.029115	0.001144	0.011470	0.007945	0.019537	0.009571	0.049187	0.018119	0.024688	0.028742	0.039673	0.036115
44	0.00186066647	0.00086079861	0.00086079861	0.00186066647	0.00186066647	0.00086079861	0.009717	0.002513	0.006414	0.002581	0.013440	0.006103	0.009717	0.002513	0.006414	0.002581	0.013440	0.006103	0.009717	0.002513	0.006414	0.002581	0.013440	0.006103	1	2	2.99920721238294e-07	0.00136073254	0.000220411221472144	0.402467175104387	0.042493	0.002873	0.001874	0.003239	0.012087	0.004517	0.038998	0.002593	0.003519	0.004825	0.019360	0.007217	0.017194	0.000275	0.002651	0.002884	0.004947	0.000060	0.058789	0.015686	0.016431	0.023449	0.042055	0.024339
30	0.04044276427	0.00335202231	0.00102759563	0.00102759563	0.00444188658	0.00444188658	0.009232	0.005209	0.002428	0.003040	0.009361	0.010294	0.009232	0.005209	0.002428	0.003040	0.009361	0.010294	0.009232	0.005209	0.002428	0.003040	0.009361	0.010294	1	4	0.000237825720789457	0.00912229183333333	0.0260708301306947	1.69053999216673	0.036857	0.008790	0.002926	0.005083	0.019638	0.012954	0.033263	0.006915	0.004398	0.004289	0.017255	0.012629	0.044509	0.006032	0.001343	0.003164	0.017722	0.003949	0.054181	0.025655	0.018377	0.022104	0.039673	0.032264
159	0.00228398740	0.00228398740	0.01128577009	0.00293074932	0.01128577009	0.00228398740	0.012727	0.002250	0.007220	0.001028	0.007765	0.008638	0.012727	0.002250	0.007220	0.001028	0.007765	0.008638	0.012727	0.002250	0.007220	0.001028	0.007765	0.008638	1	3	2.09020065555217e-05	0.00539237528333333	0.00387621511064434	0.847839957545861	0.016487	0.006611	0.006930	0.002376	0.014414	0.011121	0.025234	0.006915	0.007037	0.002413	0.015151	0.011727	0.001839	0.007702	0.011132	0.005122	0.020894	0.000195	0.047053	0.025655	0.023269	0.016567	0.037147	0.031079
20	0.00940642053	0.00023582896	0.00862891440	0.00940642053	0.00925693045	0.00421384990	0.020695	0.003853	0.006596	0.001905	0.006686	0.006744	0.020695	0.003853	0.006596	0.001905	0.006686	0.006744	0.020695	0.003853	0.006596	0.001905	0.006686	0.006744	1	5	1.45449157047368e-05	0.006858060795	0.00212084963075	0.556101765165826	0.032619	0.004637	0.006109	0.009208	0.017253	0.011243	0.037851	0.005186	0.008797	0.006969	0.013047	0.009021	0.011655	0.001210	0.006889	0.019902	0.026941	0.007356	0.057894	0.022204	0.026033	0.028203	0.034445	0.027231
47	0.00945915657	0.00945915657	0.00915388543	0.00023008964	0.00915388543	0.00877273286	0.012538	0.003519	0.005045	0.005779	0.009979	0.021900	0.012538	0.003519	0.005045	0.005779	0.009979	0.021900	0.012538	0.003519	0.005045	0.005779	0.009979	0.021900	1	4	1.34734013347499e-05	0.00770481775	0.00174869825243432	0.47640493633161	0.024054	0.009285	0.005595	0.002567	0.017653	0.011026	0.025234	0.006050	0.006158	0.003753	0.018097	0.016238	0.019400	0.008773	0.013946	0.000057	0.019872	0.014313	0.047053	0.023991	0.021758	0.020672	0.040642	0.036633
24	0.00274715643	0.00153509488	0.00274715643	0.00153509488	0.00274715643	0.00153509488	0.018627	0.002257	0.004484	0.003250	0.012348	0.005848	0.018627	0.002257	0.004484	0.003250	0.012348	0.005848	0.018627	0.002257	0.004484	0.003250	0.012348	0.005848	1	2	4.40727960296521e-07	0.002141125655	0.000205839372045879	0.310058146503165	0.017841	0.001024	0.006417	0.003407	0.008116	0.009146	0.028675	0.000864	0.006158	0.005629	0.013047	0.009021	0.002900	0.000494	0.000000	0.003583	0.001188	0.000000	0.050222	0.009051	0.021758	0.025335	0.034445	0.027231
17	0.01185596083	0.00041285628	0.01185596083	0.00017257761	0.00338939016	0.00919816724	0.012012	0.002785	0.005817	0.005310	0.012829	0.010255	0.012012	0.002785	0.005817	0.005310	0.012829	0.010255	0.012012	0.002785	0.005817	0.005310	0.012829	0.010255	1	5	3.01345253509197e-05	0.00614748549166667	0.0049019270385866	0.892965469308547	0.026317	0.002327	0.006827	0.004785	0.011813	0.009951	0.027528	0.002593	0.007037	0.006701	0.013468	0.013531	0.031240	0.000075	0.004670	0.000109	0.001495	0.019890	0.049187	0.015686	0.023269	0.027652	0.035001	0.033407
57	0.00192086053	0.00192086053	0.00210287963	0.00210287963	0.00192086053	0.00210287963	0.016803	0.009403	0.005596	0.005782	0.008924	0.012613	0.016803	0.009403	0.005596	0.005782	0.008924	0.012613	0.016803	0.009403	0.005596	0.005782	0.008924	0.012613	1	2	9.93928582944324e-09	0.00201187008	4.94032190659312e-06	0.0495538792280214	0.024819	0.008608	0.003799	0.004879	0.013587	0.009681	0.032116	0.007779	0.004398	0.006433	0.013047	0.016689	0.003196	0.008136	0.003107	0.001912	0.004326	0.010447	0.053217	0.027220	0.018377	0.027091	0.034445	0.037145
